relay,slot,block_hash,builder_pubkey,value,gas_used,gas_limit
flashbots,10980790,0x0c2074f7e429f2cbf9db4cc19ff5a8b5d8b9ddd172c6a591ddd2c6a54e0826bd,0x840c9dafb68f5cd460b5d5677b85114e89187e7c890f11a8c5fc4a3e4f4aa74136ef0fcd62cf7de9741afcf7d4d3360d,2624228310176808673,14911778,30116548
flashbots,10980783,0xa5051286468ddb02c54cf465f6eae740cc2a96d3342d41cd9ee5de1c53370241,0x840c9dafb68f5cd460b5d5677b85114e89187e7c890f11a8c5fc4a3e4f4aa74136ef0fcd62cf7de9741afcf7d4d3360d,45193235794279868,7623300,30087252
flashbots,10980781,0xbdd6eee74700355c3d1fa2032e6f964d137f416d330a9aef56a5e45262c55fff,0x946fcf348bbf1044a3eaa3d27f1d01397cfc4d27495a949447c95ea7ec41db9f5c4fe3b867a937623685a0462996df09,125199573094416168,13546124,30087280
flashbots,10980780,0x1f562b3412c4587cb070cd4eab5a2e1c5240f3ff35cf1145429fe699895c4c6d,0xa00002326e62d66f690e457595023fa44699e4237fc4cc36eed5e4937f19398fc1452be33d2b2f553693e9eda2d26618,819750789506540928,12741931,30116689
flashbots,10980776,0xdf594c4929765359ec774bd0975f121848fd9346f6c1531f224e8fdf5d80ceee,0x840c9dafb68f5cd460b5d5677b85114e89187e7c890f11a8c5fc4a3e4f4aa74136ef0fcd62cf7de9741afcf7d4d3360d,3837971634816338608,16999096,30175623
flashbots,10980775,0x75b4b29f6e9e764933caba67184887ed786bd64b6571eef5b1d1e80371dc8820,0xa9bd259c09a526915575d096fd659d1e207caa94c7f92d584d256a5090dd5d81369e8fe67b8cc89b87199084aa42e20a,181115796682510373,5149362,30146185
flashbots,10980746,0xcf71a3b8a9879c667c9858a60eea7230bf71ea867438748863122591b2a770df,0x840c9dafb68f5cd460b5d5677b85114e89187e7c890f11a8c5fc4a3e4f4aa74136ef0fcd62cf7de9741afcf7d4d3360d,76423775457811976,6625112,30176058
flashbots,10980732,0x6f48c777240b5f8e4596adcf088699dc35e01fe52f875b672a6a9bbfbbf2f622,0xb67eaa5efcfa1d17319c344e1e5167811afbfe7922a2cf01c9a361f465597a5dc3a5472bd98843bac88d2541a78eab08,149195796786412704,16033813,30058619
flashbots,10980727,0x9ff8902d33c722601e95efb2f43590099a7341e187c283401a611a75e636341e,0xacb407cfb554255db2fbbb320f79bb7f1cc1e8d2dc43324e8e31baafd0836340d49c43eebc51828f53bf6d364f9ac207,24922180730064376,10325305,30029180
flashbots,10980726,0x63685043c4f47c792b701323e763ab2d617cc027222d0dae5c484c78756699ae,0x840c9dafb68f5cd460b5d5677b85114e89187e7c890f11a8c5fc4a3e4f4aa74136ef0fcd62cf7de9741afcf7d4d3360d,23429987251887006,11360993,30058533
flashbots,10980720,0xde73b6c5599df1293185cc372aa5bc55766bc11c61d89592c6948418b4853d9a,0xb26f96664274e15fb6fcda862302e47de7e0e2a6687f8349327a9846043e42596ec44af676126e2cacbdd181f548e681,99352165808114114,15358389,30058619
flashbots,10980716,0xdac6131018498e7cf40c0960a8cf7c551599d9742f74d6d5139631e94d37f0a7,0xa21a2f4807a2bcb6b07c10cea241322e0910c30869c1e4eda686b0d69bdcb74d2a140ef994afcf0bb38e0b960df4d2ee,49261277303389554,10542321,30000000
flashbots,10980712,0xcce86be49b212335ca28326f5d17fd2d843c79e94428afc105b13106c1b464cc,0x840c9dafb68f5cd460b5d5677b85114e89187e7c890f11a8c5fc4a3e4f4aa74136ef0fcd62cf7de9741afcf7d4d3360d,79265919214841063,16345348,30000000
flashbots,10980711,0x56a66142e8d2f9269c4ed7fefe3ce42a1b168b6e0915301b5ccd030f11eac58c,0xa00001792da52b2ad6606033396337f86e7598c8e0927d640bb649e0a9fe230df41f8ffd3403a5cd4fffd5131e2fbe47,47775298611091311,16750431,30029295
flashbots,10980707,0xf659e267d9250d084184eb543728b5e17abd496446ca95f06bc67fbd045ea5ee,0xa21a2f4807a2bcb6b07c10cea241322e0910c30869c1e4eda686b0d69bdcb74d2a140ef994afcf0bb38e0b960df4d2ee,261192101575417432,24459002,30029295
flashbots,10980697,0x60fc9664a8bf52b29c4214d912787a31ddb6e6e645ceaf4a0aeeedfb573bcc13,0xa2d994ea26d7c3b94b444fc2f2a6070d5cc8164e51d1a5c65db8ad6381ba5fc5e0eb3aa088b46e8da96b5167f9b97569,18289898526420266,7040161,30113858
flashbots,10980696,0x723c70854534466264bcb1aeab15f05985cc69c5e02b954661844dfc6874db89,0xa21a2f4807a2bcb6b07c10cea241322e0910c30869c1e4eda686b0d69bdcb74d2a140ef994afcf0bb38e0b960df4d2ee,67847118846324479,21145052,30143293
flashbots,10980691,0xbff139a6f69ff1403174d25b1c2820b087793cb86d88dd21de2bdffd86347d9b,0xaaf294c49fe14a402c7ffba447ec001032a8e9ff4cb4723c2f62aa0e76a707c7acb0abf545116c8221db50fed0d0d25c,1256106390713914749,8580194,30231801
flashbots,10980689,0x03cbe749bccc8306d2168bcd6314a26325434d36853e3ce63f4ee00c2497c749,0xa21a2f4807a2bcb6b07c10cea241322e0910c30869c1e4eda686b0d69bdcb74d2a140ef994afcf0bb38e0b960df4d2ee,186937183451748149,22062555,30231830
flashbots,10980685,0x213895d3e5cd5fbff84ca433048115cf5fe52edf7d1abf489db3ffa3bc577050,0x946fcf348bbf1044a3eaa3d27f1d01397cfc4d27495a949447c95ea7ec41db9f5c4fe3b867a937623685a0462996df09,49234605613884740,15230242,30290990
flashbots,10980684,0x982aaba154300605eab8696e8e2dd3675acb3c84796a4f94c44ff020eb45c678,0xa21a2f4807a2bcb6b07c10cea241322e0910c30869c1e4eda686b0d69bdcb74d2a140ef994afcf0bb38e0b960df4d2ee,56395966887868423,9694606,30261439
flashbots,10980675,0xe7d592134ee59e757df8d48ba54685c0b600e72a48e2cb595322f9960ea4b301,0xacb407cfb554255db2fbbb320f79bb7f1cc1e8d2dc43324e8e31baafd0836340d49c43eebc51828f53bf6d364f9ac207,8006411081016521115,24072113,30409683
flashbots,10980674,0xfa05124db96045b1ee39b3eca95ad786ef19e5d501b64442b640c3a8a966b054,0xb67eaa5efcfa1d17319c344e1e5167811afbfe7922a2cf01c9a361f465597a5dc3a5472bd98843bac88d2541a78eab08,31033582212566968,13857114,30439407
flashbots,10980646,0xfd6d30620277e6cb4819a1c0a2ab53047be9770e6a3e7f895d047b36921b3225,0x83bee51799e65130296f5d60ce7d78119578db6045c3c3631980514abae0be0f9b65fe82eb0c9a79d6d99030112c874c,4759885547022893056,11667513,30618686
flashbots,10980642,0x5499b545a2bef7a81292eea5b154cef5ad5383d77d92f6b2880dd616e5f94631,0xb26f96664274e15fb6fcda862302e47de7e0e2a6687f8349327a9846043e42596ec44af676126e2cacbdd181f548e681,71471718777134759,20505859,30559004
flashbots,10980628,0xdf07a167ac6e1ac7b4392b6cff2dca618b5e0735e281ae69539eeafd8be81183,0xb26f96664274e15fb6fcda862302e47de7e0e2a6687f8349327a9846043e42596ec44af676126e2cacbdd181f548e681,69712909645891700,8435771,30618949
flashbots,10980627,0xd5165726a5717ef1c93b1bc4d88b681223e74b2f89c9b526d2d76bcb82cadbc2,0xb67eaa5efcfa1d17319c344e1e5167811afbfe7922a2cf01c9a361f465597a5dc3a5472bd98843bac88d2541a78eab08,265253127986273840,13022865,30648878
flashbots,10980611,0x193498f38975436592f0c4fd14cc1547c9c6e1f96ddc74365d6feef1938145bc,0xa21a2f4807a2bcb6b07c10cea241322e0910c30869c1e4eda686b0d69bdcb74d2a140ef994afcf0bb38e0b960df4d2ee,366419432627296339,13637882,30709030
flashbots,10980609,0x01eb152364cfc8363be36f75722a7052308f7b90573691182be1680ab0d9fab1,0x840c9dafb68f5cd460b5d5677b85114e89187e7c890f11a8c5fc4a3e4f4aa74136ef0fcd62cf7de9741afcf7d4d3360d,238333503549989160,13994934,30769093
flashbots,10980585,0x16c5399c527dbc0d17f0fbb40757f77c077cde32be2d0fe9031a97a089ba423b,0xb67eaa5efcfa1d17319c344e1e5167811afbfe7922a2cf01c9a361f465597a5dc3a5472bd98843bac88d2541a78eab08,30610190391251896,14288324,30470438
flashbots,10980581,0xd7fb9f78431cc614dc56a338b112523dc168e7a9bb7d2cd439d18fa5ac0c20e1,0xb26f96664274e15fb6fcda862302e47de7e0e2a6687f8349327a9846043e42596ec44af676126e2cacbdd181f548e681,31590335238758445,12375372,30470496
flashbots,10980560,0xfb6994b825616d6b3b9a078e12f0119415a019902242227f58b5a19e93ab73a5,0xa32aadb23e45595fe4981114a8230128443fd5407d557dc0c158ab93bc2b88939b5a87a84b6863b0d04a4b5a2447f847,18621833834263735,11928348,30441060
flashbots,10980526,0x16d8b47750a81f68a6e2e43a2fc8ce228a3675b511ada0ac74c8195f7f751b0c,0x840c9dafb68f5cd460b5d5677b85114e89187e7c890f11a8c5fc4a3e4f4aa74136ef0fcd62cf7de9741afcf7d4d3360d,73514267552274475,13542295,30382154
flashbots,10980525,0xe605ecc6a837b6583e6e76bbe7b6957c09c9129cbaa97f2afd4dcee36006f7bb,0xa2d994ea26d7c3b94b444fc2f2a6070d5cc8164e51d1a5c65db8ad6381ba5fc5e0eb3aa088b46e8da96b5167f9b97569,18241250408120905,6555630,30411852
flashbots,10980500,0x900b76f5adf2bd8b5a7b93a39b5afff0b4fea3b3b0b0f63d75fdaab896d4144f,0xb67eaa5efcfa1d17319c344e1e5167811afbfe7922a2cf01c9a361f465597a5dc3a5472bd98843bac88d2541a78eab08,26202817134319729,11354740,30264086
flashbots,10980499,0x71014142643c073d346675d7df8d85e4b590626b1c1dac8bacce5723175d4e9c,0xb26f96664274e15fb6fcda862302e47de7e0e2a6687f8349327a9846043e42596ec44af676126e2cacbdd181f548e681,43016919692079756,16239589,30293668
flashbots,10980484,0xf0a1d623b23e52d180611b07ac8752f5adc2dea5981f895037179cdb41aa2c23,0xa21a2f4807a2bcb6b07c10cea241322e0910c30869c1e4eda686b0d69bdcb74d2a140ef994afcf0bb38e0b960df4d2ee,22012909812367535,16484158,30146332
